wavelength_center_nm,trans_total,trans_h2o,trans_co2
2010.0,0.999149822169,0.999809330464,0.999340298071
2030.0,0.999871053106,0.999940160189,0.999930890496
2050.0,0.999882060646,0.999964631266,0.999917426697
2070.0,0.999889053681,0.999972501849,0.999916550016
2090.0,0.999971673656,0.999980183514,0.999991489984
2110.0,0.999978249308,0.999978661566,0.999999587733
2130.0,0.999987104001,0.999987123687,0.999999980314
2150.0,0.999985425404,0.999985430195,0.999999995209
2170.0,0.999973535485,0.999973581789,0.999999953696
2190.0,0.999954000465,0.999954015176,0.999999985289
2210.0,0.999978823598,0.999978824951,0.999999998647
2230.0,0.999994431565,0.999994431817,0.999999999748
2250.0,0.999997714684,0.999997718123,0.999999996561
2270.0,0.999996584940,0.999996586608,0.999999998332
2290.0,0.999987918524,0.999987919157,0.999999999367
2310.0,0.999991444936,0.999991445052,0.999999999883
2330.0,0.999955255405,0.999955255421,0.999999999985
2350.0,0.999852229512,0.999852229518,0.999999999994
2370.0,0.999753948763,0.999753948765,0.999999999998
2390.0,0.999486049183,0.999486049186,0.999999999996
2410.0,0.998650296626,0.998650296628,0.999999999998
2430.0,0.998374723805,0.998374723805,1.000000000000
2450.0,0.997732746979,0.997732746980,0.999999999999
2470.0,0.996466577994,0.996466579724,0.999999998256
2490.0,0.992175671712,0.992175787542,0.999999883164
2510.0,0.983893191674,0.983893232938,0.999999958305
2530.0,0.948324662347,0.948324682131,0.999999979608
2550.0,0.908301706570,0.908301709072,0.999999997281
2570.0,0.763127318696,0.763127328352,0.999999988456
2590.0,0.694230523310,0.694230554690,0.999999957072
2610.0,0.701858424074,0.701859159639,0.999998958200
2630.0,0.791503623451,0.791504304425,0.999999137038
2650.0,0.852812015390,0.852813537781,0.999997726642
2670.0,0.566317974327,0.572093188194,0.988453802635
2690.0,0.771597710011,0.795764555062,0.971730870774
2710.0,0.793500625693,0.808827863578,0.980930231088
2730.0,0.734290262210,0.734800724383,0.999160751510
2750.0,0.762100601569,0.773400384167,0.985910685789
2770.0,0.767431897529,0.780053589075,0.983905302434
2790.0,0.861422730264,0.870062348890,0.989542898888
2810.0,0.861354988448,0.862696476653,0.998443116554
2830.0,0.925280994103,0.925416646906,0.999851021851
2850.0,0.957292355395,0.957301690413,0.999990377257
2870.0,0.975859803810,0.975860818377,0.999998954919
2890.0,0.989146542292,0.989146941383,0.999999597567
2910.0,0.980497611676,0.980497744751,0.999999860682
2930.0,0.989431597391,0.989431643465,0.999999953395
2950.0,0.989767342002,0.989767517380,0.999999823572
2970.0,0.991349227656,0.991351675781,0.999997526359
2990.0,0.995327237290,0.995328538613,0.999998689960
3010.0,0.995836187908,0.995836922598,0.999999263203
3030.0,0.992978034843,0.992978528213,0.999999504690
3050.0,0.991578822777,0.991578872245,0.999999950007
3070.0,0.994797099407,0.994797104956,0.999999994434
3090.0,0.991473474595,0.991473488365,0.999999986075
3110.0,0.991793934242,0.991794101638,0.999999830327
3130.0,0.995261835805,0.995262032447,0.999999802516
3150.0,0.996367305922,0.996367376338,0.999999929430
3170.0,0.999699919677,0.999700096166,0.999999823444
3190.0,0.994919672625,0.994919710950,0.999999961514
3210.0,0.988901803684,0.988901811583,0.999999992032
3230.0,0.991597304819,0.991597312606,0.999999992168
3250.0,0.995546058140,0.995546058672,0.999999999465
3270.0,0.991273081451,0.991273081793,0.999999999655
3290.0,0.993292821185,0.993292821266,0.999999999919
3310.0,0.995318300651,0.995318300856,0.999999999794
3330.0,0.996663580145,0.996663580743,0.999999999400
3350.0,0.997782652733,0.997782652895,0.999999999838
3370.0,0.998509561492,0.998509561568,0.999999999923
3390.0,0.999551833146,0.999551833160,0.999999999986
3410.0,0.999482572886,0.999482572886,1.000000000000
3430.0,0.999944398123,0.999944398123,1.000000000000
3450.0,0.999894898006,0.999894898006,1.000000000000
3470.0,0.999977854935,0.999977854938,0.999999999996
3490.0,0.999981723286,0.999981723296,0.999999999990
3510.0,0.999992332834,0.999992332840,0.999999999994
3530.0,0.999989016145,0.999989016157,0.999999999988
3550.0,0.999985370738,0.999985370739,0.999999999998
3570.0,0.999998274960,0.999998274960,1.000000000000
3590.0,0.999993774962,0.999993774962,1.000000000000
3610.0,0.999999283572,0.999999283572,1.000000000000
3630.0,0.999997164836,0.999997164837,0.999999999999
3650.0,0.999997581449,0.999997581449,1.000000000000
3670.0,0.999999079287,0.999999079287,0.999999999999
3690.0,0.999999767404,0.999999767405,0.999999999999
3710.0,0.999998759503,0.999998759503,1.000000000000
3730.0,0.999999203817,0.999999203817,1.000000000000
3750.0,0.999999668983,0.999999668983,1.000000000000
3770.0,0.999999933095,0.999999933095,1.000000000000
3790.0,0.999999751752,0.999999751752,1.000000000000
3810.0,0.999999555112,0.999999555113,0.999999999999
3830.0,0.999999745991,0.999999745994,0.999999999998
3850.0,0.999999812497,0.999999812500,0.999999999997
3870.0,0.999999861702,0.999999861708,0.999999999994
3890.0,0.999999556302,0.999999556308,0.999999999994
3910.0,0.999999852702,0.999999852706,0.999999999996
3930.0,0.999999713815,0.999999713816,0.999999999999
3950.0,0.999999748708,0.999999748709,0.999999999999
3970.0,0.999999611033,0.999999611033,1.000000000000
3990.0,0.999999616308,0.999999616366,0.999999999942
4010.0,0.999999561485,0.999999562518,0.999999998967
4030.0,0.999999338542,0.999999355418,0.999999983124
4050.0,0.999999222023,0.999999262546,0.999999959477
4070.0,0.999999408499,0.999999757348,0.999999651150
4090.0,0.999998200548,0.999999690829,0.999998509719
4110.0,0.999997989249,0.999998867228,0.999999122019
